timestamp,upstream_pressure_bar,vacuum_chamber_pressure_mbar,elflow_mln_min,keller_p1_bar,keller_tob1_degC
2026-05-29T16:07:33.672,0.8814870214566787,2.6931332370536607e-06,0.012775,0.9325000047683716,21.893798828125
2026-05-29T16:07:53.677,0.8823358605754767,2.7133868213822466e-06,0.012545,0.9324528574943542,21.916748046875
2026-05-29T16:08:13.683,0.8815827045792802,2.6931332370536607e-06,0.012395,0.9323317408561707,21.934814453125
2026-05-29T16:08:33.687,0.8814126867292705,2.6931332370536607e-06,0.01169,0.9322476387023926,21.9580078125
2026-05-29T16:08:53.691,0.8813147918359958,2.7133868213822466e-06,0.0115,0.9320423603057861,21.98046875
2026-05-29T16:09:13.699,0.8814126867292706,2.7133868213822466e-06,0.011625,0.9320053458213806,21.9990234375
2026-05-29T16:09:33.703,0.8805110536061426,2.7337927218578866e-06,0.012,0.9318539500236511,22.01708984375
2026-05-29T16:09:53.707,0.8802971849984381,2.6931332370536607e-06,0.011655,0.9317731857299805,22.0400390625
2026-05-29T16:10:13.711,0.8806049096138402,2.673030831935833e-06,0.01206,0.9316184520721436,22.06298828125
2026-05-29T16:10:33.715,0.8801091844912159,2.673030831935833e-06,0.01145,0.9314098358154297,22.081298828125
2026-05-29T16:10:53.722,0.8796817357676339,2.6931332370536607e-06,0.011210000000000001,0.9313021302223206,22.10400390625
2026-05-29T16:11:13.725,0.8798412717479315,2.7133868213822466e-06,0.011265,0.9311069846153259,22.12255859375
2026-05-29T16:11:33.724,0.8802587194215129,2.7133868213822466e-06,0.01134,0.931191086769104,22.140380859375
2026-05-29T16:11:53.720,0.8791332166406798,2.673030831935833e-06,0.011705,0.9309555888175964,22.158935546875
2026-05-29T16:12:13.715,0.8786816307675772,2.6931332370536607e-06,0.01107,0.930824339389801,22.176513671875
2026-05-29T16:12:33.753,0.8799560914950534,2.7133868213822466e-06,0.01141,0.9307200312614441,22.1953125
2026-05-29T16:12:53.748,0.8806258733532644,2.7133868213822466e-06,0.011455,0.9305383563041687,22.218017578125
2026-05-29T16:13:13.744,0.8794317095176198,2.6931332370536607e-06,0.010995000000000001,0.9304541945457458,22.2314453125
2026-05-29T16:13:33.739,0.8786816307675772,2.7133868213822466e-06,0.011115,0.9302725195884705,22.25439453125
2026-05-29T16:13:53.734,0.8779276092958999,2.6931332370536607e-06,0.011325,0.9302355051040649,22.272705078125
2026-05-29T16:14:13.735,0.8782969749983247,2.6931332370536607e-06,0.011375,0.9301749467849731,22.29541015625
2026-05-29T16:14:33.730,0.8772961006867296,2.6931332370536607e-06,0.01091,0.9300100803375244,22.3134765625
2026-05-29T16:14:53.726,0.8770660765367165,2.6931332370536607e-06,0.010995,0.9299259781837463,22.331787109375
2026-05-29T16:15:13.721,0.8772195541886484,2.6931332370536607e-06,0.010960000000000001,0.9297409057617188,22.350341796875
2026-05-29T16:15:33.717,0.876989145382866,2.7133868213822466e-06,0.010865,0.9295659065246582,22.372802734375
2026-05-29T16:15:53.715,0.8771047344415264,2.673030831935833e-06,0.0109,0.9294852018356323,22.390625
2026-05-29T16:16:13.709,0.8777007585559832,2.6931332370536607e-06,0.01079,0.9293707609176636,22.4091796875
2026-05-29T16:16:33.709,0.8769699125944034,2.6931332370536607e-06,0.01082,0.9292361736297607,22.427490234375
2026-05-29T16:16:53.712,0.8762818595871529,2.6931332370536607e-06,0.010955,0.9291015863418579,22.44580078125
2026-05-29T16:17:13.715,0.8768929814405529,2.6931332370536607e-06,0.010929999999999999,0.9289367198944092,22.46435546875
2026-05-29T16:17:33.723,0.8756120777289418,2.673030831935833e-06,0.01068,0.9287415742874146,22.48193359375
2026-05-29T16:17:53.726,0.8749120042289023,2.673030831935833e-06,0.01108,0.9286910891532898,22.50048828125
2026-05-29T16:18:13.730,0.8740046012692353,2.6931332370536607e-06,0.01079,0.9286002516746521,22.523193359375
2026-05-29T16:18:33.734,0.8727771647095505,2.6530784775789417e-06,0.010975,0.9285296201705933,22.53662109375
2026-05-29T16:18:53.738,0.8727579319210877,2.6530784775789417e-06,0.011005,0.9283176064491272,22.55517578125
2026-05-29T16:19:13.745,0.8724928079321305,2.6931332370536607e-06,0.010879999999999999,0.9282301068305969,22.5732421875
2026-05-29T16:19:33.748,0.8724309745172231,2.6931332370536607e-06,0.01047,0.9280619025230408,22.5869140625
2026-05-29T16:19:53.752,0.8718230260739195,2.673030831935833e-06,0.010705000000000001,0.927937388420105,22.609619140625
2026-05-29T16:20:13.756,0.8722386466325969,2.6931332370536607e-06,0.01063,0.9277960658073425,22.6279296875
2026-05-29T16:20:33.760,0.8723205783114477,2.6931332370536607e-06,0.010935,0.9276581406593323,22.64599609375
2026-05-29T16:20:53.766,0.8719501548056574,2.673030831935833e-06,0.010425,0.9275100827217102,22.65966796875
2026-05-29T16:21:13.769,0.8721674853152851,2.6530784775789417e-06,0.010440000000000001,0.9274360537528992,22.677978515625
2026-05-29T16:21:33.773,0.8716424301902553,2.6931332370536607e-06,0.010775,0.9272577166557312,22.696044921875
2026-05-29T16:21:53.776,0.8710384244685865,2.6530784775789417e-06,0.010595,0.9270827770233154,22.714111328125
2026-05-29T16:22:13.782,0.8706230924017361,2.6931332370536607e-06,0.010714999999999999,0.9269852042198181,22.72802734375
2026-05-29T16:22:33.788,0.8717385941325685,2.6931332370536607e-06,0.010705000000000001,0.9268539547920227,22.745849609375
2026-05-29T16:22:53.792,0.8711532442157083,2.6530784775789417e-06,0.010485,0.9266856908798218,22.764404296875
2026-05-29T16:23:13.796,0.8706807907671239,2.6530784775789417e-06,0.01048,0.9265982508659363,22.77783203125
2026-05-29T16:23:33.800,0.8703877792348957,2.6530784775789417e-06,0.01067,0.9263761639595032,22.7958984375
2026-05-29T16:23:53.804,0.8694498923055157,2.6530784775789417e-06,0.010665000000000001,0.9262079000473022,22.814208984375
2026-05-29T16:24:13.815,0.8696223142540832,2.6332750539562717e-06,0.01072,0.9260901808738708,22.822998046875
2026-05-29T16:24:33.820,0.8693921939401277,2.7133868213822466e-06,0.0107,0.9259892106056213,22.837158203125
2026-05-29T16:24:53.825,0.8699859101199691,2.673030831935833e-06,0.0104,0.9258478879928589,22.85498046875
2026-05-29T16:25:13.830,0.8694883578824408,2.6332750539562717e-06,0.01098,0.9257166981697083,22.873046875
