timestamp,upstream_pressure_bar,vacuum_chamber_pressure_mbar,elflow_mln_min
2026-04-23T09:16:18.947,1.8809918239666148,8.101715085350765e-06,0.0698
2026-04-23T09:16:38.952,1.880034070913048,8.101715085350765e-06,0.0444
2026-04-23T09:16:58.957,1.8795766705833374,8.041241300929646e-06,0.0393
2026-04-23T09:17:18.962,1.8766206356167008,8.101715085350765e-06,0.0373
2026-04-23T09:17:38.967,1.8754255539923905,8.041241300929646e-06,0.0353
2026-04-23T09:17:58.976,1.8742312309092575,8.101715085350765e-06,0.0348
2026-04-23T09:18:18.981,1.8743689061328768,8.101715085350765e-06,0.0357
2026-04-23T09:18:38.987,1.87305549208496,8.16264366007917e-06,0.0331
2026-04-23T09:18:58.993,1.873859450914897,8.041241300929646e-06,0.033
2026-04-23T09:19:18.999,1.8738709238501987,8.101715085350765e-06,0.0354
2026-04-23T09:19:39.008,1.8731990460027008,8.22403044534438e-06,0.0339
2026-04-23T09:19:59.015,1.8717470085546937,8.101715085350765e-06,0.0343
2026-04-23T09:20:19.021,1.8683875244995578,8.041241300929646e-06,0.0331
2026-04-23T09:20:39.027,1.8671009438457764,8.101715085350765e-06,0.0332
2026-04-23T09:20:59.033,1.8668402901338412,8.101715085350765e-06,0.0378
2026-04-23T09:21:19.044,1.8657545332566616,8.16264366007917e-06,0.0357
2026-04-23T09:21:39.050,1.864896812820807,8.101715085350765e-06,0.0343
2026-04-23T09:21:59.055,1.862834149725342,8.16264366007917e-06,0.0328
2026-04-23T09:22:19.061,1.8602928471472113,8.101715085350765e-06,0.0354
2026-04-23T09:22:39.067,1.8601413285471124,8.041241300929646e-06,0.0352
2026-04-23T09:22:59.077,1.8591984618641435,8.22403044534438e-06,0.0353
2026-04-23T09:23:19.084,1.8600465108999917,8.16264366007917e-06,0.0332
2026-04-23T09:23:39.090,1.8603117158589884,8.16264366007917e-06,0.0336
2026-04-23T09:23:59.094,1.8577329603102453,8.16264366007917e-06,0.0345
2026-04-23T09:24:19.099,1.8550591026614396,8.101715085350765e-06,0.0324
2026-04-23T09:24:39.161,1.8547916319852333,8.101715085350765e-06,0.0322
2026-04-23T09:24:59.165,1.8562727685445854,8.16264366007917e-06,0.0327
2026-04-23T09:25:19.170,1.8558934979561024,8.101715085350765e-06,0.0325
2026-04-23T09:25:39.174,1.8555190630676224,8.101715085350765e-06,0.0345
2026-04-23T09:25:59.179,1.8537316556017491,8.101715085350765e-06,0.0332
2026-04-23T09:26:19.188,1.8538774851430206,7.981218912115977e-06,0.0331
2026-04-23T09:26:39.192,1.852992077954207,8.041241300929646e-06,0.0321
2026-04-23T09:26:59.197,1.848631983269006,8.041241300929646e-06,0.0308
2026-04-23T09:27:19.201,1.847871925009686,8.041241300929646e-06,0.0321
2026-04-23T09:27:39.205,1.8472923047328367,8.041241300929646e-06,0.0322
2026-04-23T09:27:59.213,1.8469047850090543,7.981218912115977e-06,0.0323
2026-04-23T09:28:19.218,1.8458582826377823,8.041241300929646e-06,0.0318
2026-04-23T09:28:39.223,1.844496416772187,7.981218912115977e-06,0.0305
2026-04-23T09:28:59.229,1.842669470347464,7.981218912115977e-06,0.0318
2026-04-23T09:29:19.234,1.8413674344172017,8.041241300929646e-06,0.0315
2026-04-23T09:29:39.244,1.84142413537018,7.981218912115977e-06,0.033
2026-04-23T09:29:59.249,1.8416898144174123,8.101715085350765e-06,0.0297
2026-04-23T09:30:19.254,1.840895811440423,7.921644549548997e-06,0.0329
2026-04-23T09:30:39.259,1.841879449711654,7.921644549548997e-06,0.0311
2026-04-23T09:30:59.263,1.8407448617462068,8.041241300929646e-06,0.0309
2026-04-23T09:31:19.276,1.8404571850048426,7.981218912115977e-06,0.0319
2026-04-23T09:31:39.281,1.8376126555912196,7.921644549548997e-06,0.031
2026-04-23T09:31:59.286,1.8345595273539312,7.921644549548997e-06,0.0307
2026-04-23T09:32:19.291,1.833631357406266,7.981218912115977e-06,0.0329
2026-04-23T09:32:39.297,1.8344457461773862,7.862514869017975e-06,0.032
2026-04-23T09:32:59.306,1.833687963541597,7.981218912115977e-06,0.0309
2026-04-23T09:33:19.310,1.8317149979403085,7.981218912115977e-06,0.0303
2026-04-23T09:33:39.315,1.8320184144110947,7.921644549548997e-06,0.0319
