timestamp,upstream_pressure_bar,vacuum_chamber_pressure_mbar,elflow_mln_min
2026-04-21T10:42:26.814,1.2753250446356832,3.858723650972123e-06,
2026-04-21T10:42:27.814,1.2790987869910895,3.887743004263086e-06,0.0282
2026-04-21T10:42:28.815,1.2753250446356832,3.887743004263086e-06,0.03
2026-04-21T10:42:29.816,1.2790987869910895,3.887743004263086e-06,0.0343
2026-04-21T10:42:30.816,1.2753250446356832,3.887743004263086e-06,0.0353
2026-04-21T10:42:31.818,1.2790987869910895,3.858723650972123e-06,0.0328
2026-04-21T10:42:32.818,1.2753250446356832,3.887743004263086e-06,0.031
2026-04-21T10:42:33.818,1.271551302280277,3.887743004263086e-06,0.0308
2026-04-21T10:42:34.819,1.2790987869910895,3.916980596262388e-06,0.0307
2026-04-21T10:42:35.819,1.2753250446356832,3.916980596262388e-06,0.0289
2026-04-21T10:42:36.819,1.2753250446356832,3.916980596262388e-06,0.028
2026-04-21T10:42:37.820,1.2790987869910895,3.8299209073862e-06,0.0274
2026-04-21T10:42:38.820,1.2753250446356832,3.858723650972123e-06,0.0283
2026-04-21T10:42:39.820,1.2753250446356832,3.858723650972123e-06,0.0291
2026-04-21T10:42:40.821,1.2753250446356832,3.858723650972123e-06,0.0293
2026-04-21T10:42:41.821,1.2753250446356832,3.887743004263086e-06,0.0302
2026-04-21T10:42:42.822,1.2677775599248706,3.887743004263086e-06,0.0314
2026-04-21T10:42:43.822,1.2790987869910895,3.8299209073862e-06,0.0341
2026-04-21T10:42:44.823,1.2790987869910895,3.8299209073862e-06,0.0344
2026-04-21T10:42:45.824,1.2790987869910895,3.858723650972123e-06,0.0331
2026-04-21T10:42:46.824,1.271551302280277,3.887743004263086e-06,0.0305
2026-04-21T10:42:47.825,1.2828725293464958,3.858723650972123e-06,0.0314
2026-04-21T10:42:48.826,1.2828725293464958,3.858723650972123e-06,0.0334
2026-04-21T10:42:49.826,1.2753250446356832,3.887743004263086e-06,0.033
2026-04-21T10:42:50.827,1.271551302280277,3.8299209073862e-06,0.036
2026-04-21T10:42:51.828,1.2790987869910895,3.858723650972123e-06,0.0386
2026-04-21T10:42:52.829,1.2790987869910895,3.858723650972123e-06,0.0412
2026-04-21T10:42:53.832,1.271551302280277,3.858723650972123e-06,0.0419
