timestamp,upstream_pressure_bar,vacuum_chamber_pressure_mbar,elflow_mln_min
2026-04-21T13:59:01.333,1.3696686035208403,4.516218866946703e-06,
2026-04-21T13:59:02.333,1.3772160882316529,4.58440232325207e-06,0.0263
2026-04-21T13:59:03.334,1.3772160882316529,4.550182882692217e-06,0.0277
2026-04-21T13:59:04.334,1.3734423458762466,4.550182882692217e-06,0.0265
2026-04-21T13:59:05.334,1.3772160882316529,4.516218866946703e-06,0.0269
2026-04-21T13:59:06.334,1.3809898305870592,4.550182882692217e-06,0.0267
2026-04-21T13:59:07.335,1.365894861165434,4.550182882692217e-06,0.0273
2026-04-21T13:59:08.335,1.3809898305870592,4.58440232325207e-06,0.0278
2026-04-21T13:59:09.335,1.3734423458762466,4.550182882692217e-06,0.027
2026-04-21T13:59:10.336,1.3734423458762466,4.550182882692217e-06,0.0282
2026-04-21T13:59:11.336,1.3696686035208403,4.550182882692217e-06,0.0277
2026-04-21T13:59:12.336,1.3734423458762466,4.550182882692217e-06,0.0283
2026-04-21T13:59:13.336,1.3734423458762466,4.516218866946703e-06,0.0277
2026-04-21T13:59:14.336,1.3696686035208403,4.58440232325207e-06,0.0275
2026-04-21T13:59:15.336,1.3772160882316529,4.550182882692217e-06,0.0285
2026-04-21T13:59:16.337,1.3696686035208403,4.550182882692217e-06,0.029
2026-04-21T13:59:17.337,1.3734423458762466,4.550182882692217e-06,0.029
2026-04-21T13:59:18.338,1.3734423458762466,4.516218866946703e-06,0.0271
2026-04-21T13:59:19.338,1.3734423458762466,4.516218866946703e-06,0.0273
2026-04-21T13:59:20.338,1.3734423458762466,4.550182882692217e-06,0.0272
2026-04-21T13:59:21.339,1.3734423458762466,4.58440232325207e-06,0.0269
2026-04-21T13:59:22.339,1.3809898305870592,4.550182882692217e-06,0.0276
2026-04-21T13:59:23.339,1.3809898305870592,4.550182882692217e-06,0.0275
2026-04-21T13:59:24.339,1.3772160882316529,4.516218866946703e-06,0.0282
2026-04-21T13:59:25.339,1.3809898305870592,4.550182882692217e-06,0.0259
2026-04-21T13:59:26.340,1.3772160882316529,4.58440232325207e-06,0.0269
2026-04-21T13:59:27.340,1.3734423458762466,4.516218866946703e-06,0.0263
2026-04-21T13:59:28.340,1.3734423458762466,4.550182882692217e-06,0.0266
2026-04-21T13:59:29.341,1.3772160882316529,4.58440232325207e-06,0.0267
2026-04-21T13:59:30.341,1.3696686035208403,4.550182882692217e-06,0.027
2026-04-21T13:59:31.341,1.3734423458762466,4.516218866946703e-06,0.027
2026-04-21T13:59:32.342,1.3734423458762466,4.516218866946703e-06,0.0275
2026-04-21T13:59:33.342,1.3696686035208403,4.58440232325207e-06,0.027
2026-04-21T13:59:34.342,1.3734423458762466,4.550182882692217e-06,0.0275
2026-04-21T13:59:35.343,1.3734423458762466,4.516218866946703e-06,0.0281
2026-04-21T13:59:36.343,1.3734423458762466,4.550182882692217e-06,0.0263
2026-04-21T13:59:37.344,1.3734423458762466,4.550182882692217e-06,0.027
2026-04-21T13:59:38.344,1.3772160882316529,4.550182882692217e-06,0.0283
2026-04-21T13:59:39.344,1.3772160882316529,4.516218866946703e-06,0.0278
2026-04-21T13:59:40.344,1.3734423458762466,4.550182882692217e-06,0.0274
2026-04-21T13:59:41.344,1.3772160882316529,4.58440232325207e-06,0.0262
2026-04-21T13:59:42.345,1.3809898305870592,4.550182882692217e-06,0.026
2026-04-21T13:59:43.345,1.3772160882316529,4.550182882692217e-06,0.026
2026-04-21T13:59:44.345,1.3734423458762466,4.516218866946703e-06,0.0255
2026-04-21T13:59:45.346,1.3696686035208403,4.516218866946703e-06,0.0252
2026-04-21T13:59:46.346,1.3696686035208403,4.516218866946703e-06,0.0262
2026-04-21T13:59:47.346,1.3809898305870592,4.58440232325207e-06,0.0272
2026-04-21T13:59:48.346,1.3621211188100277,4.516218866946703e-06,0.0272
2026-04-21T13:59:49.347,1.3772160882316529,4.516218866946703e-06,0.0279
2026-04-21T13:59:50.347,1.3772160882316529,4.550182882692217e-06,0.0281
2026-04-21T13:59:51.347,1.3734423458762466,4.550182882692217e-06,0.0282
2026-04-21T13:59:52.348,1.3809898305870592,4.550182882692217e-06,0.0291
2026-04-21T13:59:53.348,1.3734423458762466,4.516218866946703e-06,0.0295
2026-04-21T13:59:54.349,1.3772160882316529,4.516218866946703e-06,0.0294
2026-04-21T13:59:55.349,1.3772160882316529,4.58440232325207e-06,0.0294
2026-04-21T13:59:56.349,1.3772160882316529,4.58440232325207e-06,0.0279
2026-04-21T13:59:57.350,1.3734423458762466,4.550182882692217e-06,0.0292
2026-04-21T13:59:58.350,1.3734423458762466,4.550182882692217e-06,0.0283
2026-04-21T13:59:59.350,1.3809898305870592,4.550182882692217e-06,0.0288
2026-04-21T14:00:00.351,1.3772160882316529,4.516218866946703e-06,0.0278
2026-04-21T14:00:01.351,1.3734423458762466,4.44904949784091e-06,0.028
2026-04-21T14:00:02.352,1.3772160882316529,4.48250836944326e-06,0.0291
2026-04-21T14:00:03.352,1.3734423458762466,4.516218866946703e-06,0.0288
2026-04-21T14:00:04.353,1.3772160882316529,4.550182882692217e-06,0.0286
2026-04-21T14:00:05.353,1.3696686035208403,4.516218866946703e-06,0.0288
2026-04-21T14:00:06.354,1.3734423458762466,4.516218866946703e-06,0.0285
2026-04-21T14:00:07.354,1.3809898305870592,4.550182882692217e-06,0.0292
2026-04-21T14:00:08.354,1.365894861165434,4.516218866946703e-06,0.0296
2026-04-21T14:00:09.355,1.3734423458762466,4.516218866946703e-06,0.03
2026-04-21T14:00:10.355,1.3734423458762466,4.516218866946703e-06,0.0306
2026-04-21T14:00:11.356,1.3734423458762466,4.48250836944326e-06,0.031
2026-04-21T14:00:12.356,1.3696686035208403,4.48250836944326e-06,0.0309
2026-04-21T14:00:13.356,1.3734423458762466,4.516218866946703e-06,0.0309
2026-04-21T14:00:14.357,1.3809898305870592,4.550182882692217e-06,0.0305
2026-04-21T14:00:15.357,1.3772160882316529,4.550182882692217e-06,0.0296
2026-04-21T14:00:16.357,1.3734423458762466,4.516218866946703e-06,0.0294
2026-04-21T14:00:17.358,1.3696686035208403,4.58440232325207e-06,0.0301
2026-04-21T14:00:18.358,1.3734423458762466,4.516218866946703e-06,0.0301
2026-04-21T14:00:19.358,1.3809898305870592,4.550182882692217e-06,0.0301
2026-04-21T14:00:20.359,1.3772160882316529,4.516218866946703e-06,0.0307
2026-04-21T14:00:21.359,1.3772160882316529,4.516218866946703e-06,0.0298
2026-04-21T14:00:22.359,1.3772160882316529,4.516218866946703e-06,0.0303
2026-04-21T14:00:23.359,1.3734423458762466,4.550182882692217e-06,0.0291
2026-04-21T14:00:24.359,1.3772160882316529,4.550182882692217e-06,0.0296
2026-04-21T14:00:25.360,1.3772160882316529,4.550182882692217e-06,0.029
2026-04-21T14:00:26.360,1.3772160882316529,4.516218866946703e-06,0.0287
2026-04-21T14:00:27.361,1.3734423458762466,4.48250836944326e-06,0.0284
2026-04-21T14:00:28.361,1.3809898305870592,4.58440232325207e-06,0.0287
2026-04-21T14:00:29.362,1.365894861165434,4.550182882692217e-06,0.028
2026-04-21T14:00:30.362,1.3696686035208403,4.550182882692217e-06,0.0285
2026-04-21T14:00:31.363,1.3772160882316529,4.550182882692217e-06,0.029
2026-04-21T14:00:32.363,1.3772160882316529,4.550182882692217e-06,0.0289
2026-04-21T14:00:33.363,1.3809898305870592,4.516218866946703e-06,0.0299
2026-04-21T14:00:34.364,1.3734423458762466,4.516218866946703e-06,0.0298
2026-04-21T14:00:35.364,1.3772160882316529,4.550182882692217e-06,0.0292
2026-04-21T14:00:36.365,1.3734423458762466,4.516218866946703e-06,0.0286
2026-04-21T14:00:37.365,1.3734423458762466,4.550182882692217e-06,0.028
2026-04-21T14:00:38.366,1.3696686035208403,4.58440232325207e-06,0.0273
2026-04-21T14:00:39.366,1.3772160882316529,4.550182882692217e-06,0.0274
2026-04-21T14:00:40.367,1.3696686035208403,4.550182882692217e-06,0.0266
2026-04-21T14:00:41.367,1.3809898305870592,4.516218866946703e-06,0.0271
2026-04-21T14:00:42.367,1.3809898305870592,4.58440232325207e-06,0.0278
2026-04-21T14:00:43.367,1.3772160882316529,4.516218866946703e-06,0.0275
2026-04-21T14:00:44.368,1.3772160882316529,4.550182882692217e-06,0.027
2026-04-21T14:00:45.368,1.3772160882316529,4.550182882692217e-06,0.0278
2026-04-21T14:00:46.369,1.3772160882316529,4.516218866946703e-06,0.0284
2026-04-21T14:00:47.369,1.365894861165434,4.550182882692217e-06,0.028
2026-04-21T14:00:48.370,1.3809898305870592,4.550182882692217e-06,0.028
2026-04-21T14:00:49.370,1.3772160882316529,4.550182882692217e-06,0.0281
